Date,Net Worth
2021-07-19,2298989.367039682
2021-07-26,2308223.036773461
2021-08-02,2320961.799388742
2021-08-09,2301169.547490973
2021-08-16,2433516.824477601
2021-08-23,2484985.0793541283
2021-08-30,2600998.441877073
2021-09-06,2616623.581227934
2021-09-13,2558046.995589944
2021-09-20,2551615.7933849613
2021-09-27,2618537.0777040925
2021-10-04,2679659.010013641
2021-10-11,2642659.5490289624
2021-10-18,2771408.0049996944
2021-10-25,2854987.0515791113
2021-11-01,2657601.7631829097
2021-11-08,2784765.849855957
2021-11-15,2750574.8827098785
2021-11-22,2679923.05243652
2021-11-29,2414205.4741996913
2021-12-06,2450893.551539215
2021-12-13,2354919.093780514
2021-12-20,2460248.6730979877
2021-12-27,2415398.887851345
2022-01-03,2179100.6826682594
2022-01-10,2167913.5758324605
2022-01-17,1710598.4015613403
2022-01-24,1705067.3285784638
2022-01-31,1860919.5963274627
2022-02-07,1827478.8241237332
2022-02-14,1875055.2701590208
2022-02-21,1920430.4894817588
2022-02-28,1832202.031190902
2022-03-07,1776851.752695667
2022-03-14,2023311.6890148174
2022-03-21,2036451.2932159507
2022-03-28,2081753.9316095626
2022-04-04,2035371.7608577479
2022-04-11,2002065.8614263542
2022-04-18,1346617.8839685344
2022-04-25,1247255.1693149926
2022-05-02,1237076.135255146
2022-05-09,1325809.4307438107
2022-05-16,1363802.470159256
2022-05-23,1470429.74391595
2022-05-30,1543414.2068799878
2022-06-06,1472572.5643288207
2022-06-13,1462484.450175752
2022-06-20,1628106.1060924341
2022-06-27,1586091.738653435
2022-07-04,1690074.968326252
2022-07-11,1753769.2465615582
2022-07-18,2074604.3503840258
2022-07-25,2114737.0496440176
2022-08-01,2131654.047538247
2022-08-08,2334297.583191631
2022-08-15,2242925.9312267615
2022-08-22,2083384.2684736077
2022-08-29,2108636.1196154137
2022-09-05,2175201.0764702084
2022-09-12,2233735.3435790464
2022-09-19,2093178.0542689776
2022-09-26,2173025.4147423524
2022-10-03,2060349.1521220645
2022-10-10,2106346.171333867
2022-10-17,2628259.077319813
2022-10-24,2663955.2207713076
2022-10-31,2341887.128312709
2022-11-07,2595079.9267206965
2022-11-14,2576526.3114638855
2022-11-21,2555470.039523661
2022-11-28,2856384.5868372517
2022-12-05,2834715.8208059254
2022-12-12,2565318.5784090236
2022-12-19,2601484.414188703
2022-12-26,2600803.764649721
2023-01-02,2776697.2260019
2023-01-09,2923658.3250762387
2023-01-16,2987786.6217323905
2023-01-23,3142280.998931213
2023-01-30,3185661.26191341
2023-02-06,3010627.491080831
2023-02-13,3015669.6265296284
2023-02-20,2756758.5855549676
2023-02-27,2740203.731309733
2023-03-06,2551797.963624517
2023-03-13,2642051.20159002
2023-03-20,2851213.821551487
2023-03-27,2994829.1764836144
2023-04-03,2943147.6032637553
2023-04-10,2937265.3219937007
2023-04-17,2847768.363168489
2023-04-24,2864154.988246767
2023-05-01,2849558.5817833235
2023-05-08,3041533.604657459
2023-05-15,3262610.559859628
2023-05-22,3379963.067768841
2023-05-29,3567362.211878827
2023-06-05,3718833.7424924336
2023-06-12,3803722.2331479522
2023-06-19,3717246.8347268305
2023-06-26,3839833.649390046
2023-07-03,3801239.779489834
2023-07-10,3815236.73924229
2023-07-17,3675541.9280548743
2023-07-24,3642842.108567412
2023-07-31,3673093.9485440254
2023-08-07,3572315.470938784
2023-08-14,3412613.0105841593
2023-08-21,3507017.515121919
2023-08-28,3702804.297700407
2023-09-04,3726774.6932111615
2023-09-11,3350306.0622165
2023-09-18,3255458.981443841
2023-09-25,3282763.5653939447
2023-10-02,3361462.585798395
2023-10-09,3185651.7825522246
2023-10-16,3625115.8131059012
2023-10-23,3597881.604667203
2023-10-30,3901865.032706795
2023-11-06,4033012.502716101
2023-11-13,4197563.865510558
2023-11-20,4317870.423118718
2023-11-27,4196065.418032471
2023-12-04,4090477.814549671
2023-12-11,4251767.889882351
2023-12-18,4381328.960789682
2023-12-25,4364186.748886467
2024-01-01,4233469.356932659
2024-01-08,4373406.909158889
2024-01-15,4275052.011636239
2024-01-22,5014554.270986158
2024-01-29,4946427.00491086
2024-02-05,4899632.358046376
2024-02-12,5075222.692492386
2024-02-19,5053632.353733712
2024-02-26,5339607.788005007
2024-03-04,5198294.9656381225
2024-03-11,5188963.857768879
2024-03-18,5356859.357989427
2024-03-25,5165185.02394022
2024-04-01,5387892.738332142
2024-04-08,5258448.226838109
2024-04-15,5164315.394539153
2024-04-18,5120126.892276849
